=== Experiment 001: Gettysburg Address ===
Date: Sun Apr  5 05:20:06 PM EDT 2026
Running exp001...
Loading data... 50257 tokens x 768d

=== Real Text: Gettysburg Address ===
  Total tokens: 286
  Unique tokens: 143
  Unique ratio: 50.0%
  Most repeated:
    ","          x20
    " that"      x13
    "."          x9
    " we"        x8
    " a"         x7
  Tokens appearing once: 95

  Decomposing (trace mode)...
   Step        Norm  Token              Hit?
    197  23.5357  " portion"         HIT
    198  23.2577  " say"             HIT
    199  23.0295  " far"             HIT
    200  22.7749  " consec"          HIT
    201  22.4507  " and"             HIT
    202  22.2745  " our"             HIT
    203  22.0829  " continent"       HIT
    204  21.7889  "."                HIT
    205  21.6326  " live"            HIT
    206  21.3765  " It"              HIT
    207  21.2038  " remember"        HIT
    208  20.9215  " forth"           HIT
    209  20.6304  " created"         HIT
    210  20.3886  " power"           HIT
    211  20.1451  ","                HIT
    212  19.9922  " vain"            HIT
    213  19.6719  " years"           HIT
    214  19.4496  " resting"         HIT
    215  19.1777  " did"             HIT
    216  18.9908  " civil"           HIT
    217  18.7308  "."                HIT
    218  18.5794  " fathers"         HIT
    219  18.3010  " We"              HIT
    220  18.1068  " new"             HIT
    221  17.9029  " cause"           HIT
    222  17.6655  " rather"          HIT
    223  17.4407  " Now"             HIT
    224  17.2319  " met"             HIT
    225  16.9862  " those"           HIT
    226  16.8019  " score"           HIT
    227  16.5481  "."                HIT
    228  16.4067  " proposition"     HIT
    229  16.1403  " above"           HIT
    230  15.9156  "rated"            HIT
    231  15.6366  " of"              HIT
    232  15.4793  " little"          HIT
    233  15.2688  " birth"           HIT
    234  15.0124  " It"              HIT
    235  14.8555  " nor"             HIT
    236  14.6304  " remaining"       HIT
    237  14.4106  " engaged"         HIT
    238  14.1853  " forget"          HIT
    239  13.9421  ","                HIT
    240  13.7856  " proper"          HIT
    241  13.5535  " is"              HIT
    242  13.4092  " hall"            HIT
    243  13.1073  " The"             HIT
    244  12.9533  " devotion"        HIT
    245  12.7332  "."                HIT
    246  12.6005  " ground"          HIT
    247  12.3782  " poor"            HIT
    248  12.1911  " equal"           HIT
    249  11.9970  " Here"            miss
    250  11.8253  " them"            miss
    251  11.6749  " —"               HIT
    252  11.5147  " endure"          HIT
    253  11.3265  " whether"         HIT
    254  11.1586  "-"                HIT
    255  11.0263  " conceived"       HIT
    256  10.8504  " note"            HIT
    257  10.6738  "field"            HIT
    258  10.4762  " task"            HIT
    259  10.2961  " a"               HIT
    260  10.1622  " brings"          miss
    261  10.0188  "."                HIT
    262  9.9094  "rate"             HIT
    263  9.7637  " all"             HIT
    264  9.6300  " Liberty"         HIT
    265  9.4771  " testing"         HIT
    266  9.3417  " people"          HIT
    267  9.2302  " ago"             HIT
    268  9.1117  " The"             HIT
    269  9.0033  " dead"            HIT
    270  8.8579  " fitting"         HIT
    271  8.7307  " resolve"         HIT
    272  8.6400  "."                HIT
    273  8.5408  " added"           miss
    274  8.4563  " government"      HIT
    275  8.3714  " On"              miss
    276  8.2829  "ow"               HIT
    277  8.1684  " and"             HIT
    278  8.0911  " highly"          HIT
    279  8.0253  "Four"             HIT
    280  7.9717  " God"             HIT
    281  7.9115  " the"             HIT
    282  7.8545  " detract"         HIT
    283  7.8376  " battle"          HIT
    284  7.8147  " is"              HIT
    285  7.7689  " under"           HIT
    286  7.7554  "size"             miss
         7.7936  (final residual)

--- Results ---
  Total token recovery:  92.3% (264/286, 22 missing, 17 extra)
  Unique token recovery: 86.0% (123/143)
  Recovered tokens: 287
  Final residual: 7.7936

  Missing unique tokens (20):
    " on"           (appeared 2x)
    " they"         (appeared 2x)
    " seven"        (appeared 1x)
    " brought"      (appeared 1x)
    " lives"        (appeared 1x)
    " might"        (appeared 1x)
