=== Experiment 003: Tale of Two Cities ===
Date: Sun Apr  5 07:14:45 PM EDT 2026
Running exp003...
Loading data... 50257 tokens x 768d

=== Real Text: tale-ch1.txt ===
  Total tokens: 1401
  Unique tokens: 638
  Unique ratio: 45.5%
  Most repeated:
    ","          x94
    "\n"         x90
    " the"       x74
    " of"        x54
    " and"       x37
  Tokens appearing once: 494

  Decomposing (trace mode)...
   Step        Norm  Token              Hit?
    577  1317.5098  "the"              HIT
    578  1315.8054  " makes"           miss
    579  1314.2159  " that"            HIT
    580  1312.7903  "\n"               HIT
    581  1311.2635  ",\""              miss
    582  1309.5631  " been"            HIT
    583  1308.0184  "'s"               miss
    584  1306.2050  "the"              HIT
    585  1304.5076  " This"            miss
    586  1302.9906  " they"            HIT
    587  1301.3749  ";"                HIT
    588  1299.6835  " were"            HIT
    589  1298.1031  " be"              HIT
    590  1296.6080  "\u001C"           miss
    591  1294.8634  " of"              HIT
    592  1293.3972  "\n"               HIT
    593  1291.8792  "\u001C"           miss
    594  1290.1340  " that"            HIT
    595  1288.7178  ",\""              miss
    596  1287.0271  " it"              HIT
    597  1285.5619  "\u001C"           miss
    598  1283.8186  " to"              HIT
    599  1282.3945  "'s"               miss
    600  1280.5922  "\u001C"           miss
    601  1278.8501  "\n"               HIT
    602  1277.3337  " been"            HIT
    603  1275.7996  "the"              HIT
    604  1274.1119  " And"             miss
    605  1272.5636  "\u001C"           miss
    606  1270.8246  " of"              HIT
    607  1269.3621  ";"                HIT
    608  1267.6793  " be"              HIT
    609  1266.1919  "\u001C"           miss
    610  1264.4535  " to"              HIT
    611  1263.0339  " had"             HIT
    612  1261.5057  "\u001C"           miss
    613  1259.7695  "\n"               HIT
    614  1258.2571  " that"            HIT
    615  1256.8484  "'s"               miss
    616  1255.0525  "\u001C"           miss
    617  1253.3162  " of"              HIT
    618  1251.8596  " what"            miss
    619  1250.3654  "\u001C"           miss
    620  1248.6311  "-"                HIT
    621  1246.8596  "\n"               HIT
    622  1245.3522  "\u001C"           miss
    623  1243.6184  " his"             HIT
    624  1242.0901  " to"              HIT
    625  1240.6758  "\u001C"           miss
    626  1238.9445  "-"                HIT
    627  1237.1753  " And"             miss
    628  1235.6348  " it"              HIT
    629  1234.1803  "\u001C"           miss
    630  1232.4496  " of"              HIT
    631  1230.9971  ",\""              miss
    632  1229.3215  "the"              HIT
    633  1227.6456  "\u001C"           miss
    634  1225.9177  "\n"               HIT
    635  1224.4128  " be"              HIT
    636  1222.9336  " his"             HIT
    637  1221.4109  "\u001C"           miss
    638  1219.6842  "-"                HIT
    639  1217.9187  " these"           HIT
    640  1216.3740  ";"                HIT
    641  1214.7042  "\u001C"           miss
    642  1212.9788  "\n"               HIT
    643  1211.4768  " to"              HIT
    644  1210.0682  "\u001C"           miss
    645  1208.3438  "-"                HIT
    646  1206.5830  " were"            HIT
    647  1205.0242  " what"            miss
    648  1203.5398  "\u001C"           miss
    649  1201.8160  " of"              HIT
    650  1200.3693  " his"             HIT
    651  1198.8517  "\u001C"           miss
    652  1197.1317  ","                HIT
    653  1195.4156  "\n"               HIT
    654  1193.9178  "\u001C"           miss
    655  1192.1970  " they"            HIT
    656  1190.6077  "-"                HIT
    657  1188.8524  "\u001C"           miss
    658  1187.1331  " to"              HIT
    659  1185.7292  " And"             miss
    660  1184.2001  "?"                miss
    661  1182.4543  "\u001C"           miss
    662  1180.7375  " his"             HIT
    663  1179.2224  " of"              HIT
    664  1177.7810  " had"             HIT
    665  1176.2716  "\u001C"           miss
    666  1174.5563  "\n"               HIT
    667  1173.0624  ","                HIT
    668  1171.3538  "\u001C"           miss
    669  1169.6389  " these"           HIT
    670  1168.1041  " be"              HIT
    671  1166.6367  "what"             miss
    672  1164.8292  "-"                HIT
    673  1163.0791  "\u001C"           miss
    674  1161.3667  " to"              HIT
    675  1159.9681  "\n"               HIT
    676  1158.4789  "\u001C"           miss
    677  1156.7681  ","                HIT
    678  1155.0626  " that"            HIT
    679  1153.6748  "\u001C"           miss
    680  1151.9647  "\u001C"           miss
    681  1150.2598  "\u001C"           miss
    682  1148.5612  ","                HIT
    683  1146.8530  "\u001C"           miss
    684  1145.1569  "\u001C"           miss
    685  1143.4658  " an"              HIT
    686  1142.0787  " as"              HIT
    687  1140.6843  " with"            HIT
    688  1139.2573  "\u001C"           miss
    689  1137.5686  " by"              HIT
    690  1136.1460  " as"              HIT
    691  1134.7576  "-"                HIT
    692  1133.0072  "\u001C"           miss
    693  1131.3175  "\n"               HIT
    694  1129.8260  "\u001C"           miss
    695  1128.1405  " by"              HIT
    696  1126.7235  ","                HIT
    697  1125.0183  "\u001C"           miss
    698  1123.3337  " an"              HIT
    699  1121.9531  " his"             HIT
    700  1120.4452  "\u001C"           miss
    701  1118.7638  " an"              HIT
    702  1117.3875  " as"              HIT
    703  1116.0043  "-"                HIT
    704  1114.2576  "\u001C"           miss
    705  1112.5765  " by"              HIT
    706  1111.1650  "\u001C"           miss
    707  1109.4889  " as"              HIT
    708  1108.1090  "\n"               HIT
    709  1106.6216  "\u001C"           miss
    710  1104.9467  " an"              HIT
    711  1103.5752  ","                HIT
    712  1101.8728  "\u001C"           miss
    713  1100.1998  " of"              HIT
    714  1098.7646  " from"            HIT
    715  1097.3306  "-"                HIT
    716  1095.5897  "\u001C"           miss
    717  1093.9152  " and"             HIT
    718  1092.4792  "\u001C"           miss
    719  1090.8080  " an"              HIT
    720  1089.4421  "\n"               HIT
    721  1087.9596  "\u001C"           miss
    722  1086.2914  ","                HIT
    723  1084.5944  " five"            HIT
    724  1083.1583  " his"             HIT
    725  1081.6587  "\u001C"           miss
    726  1079.9924  " and"             HIT
    727  1078.5583  "-"                HIT
    728  1076.8232  "\u001C"           miss
    729  1075.1566  "\n"               HIT
    730  1073.6777  "\u001C"           miss
    731  1072.0153  " of"              HIT
    732  1070.5883  " five"            HIT
    733  1069.1567  ","                HIT
    734  1067.4663  "\u001C"           miss
    735  1065.8040  " and"             HIT
    736  1064.3745  " his"             HIT
    737  1062.8801  "\u001C"           miss
    738  1061.2207  "\n"               HIT
    739  1059.7449  " these"           HIT
    740  1058.2291  " five"            HIT
    741  1056.8018  "-"                HIT
    742  1055.0729  "what"             miss
    743  1053.2882  " be"              HIT
    744  1051.8403  " makes"           miss
    745  1050.3124  "\u001C"           miss
    746  1048.6547  " by"              HIT
    747  1047.2582  ","                HIT
    748  1045.5748  " five"            HIT
    749  1044.1521  " And"             miss
    750  1042.6509  " his"             HIT
    751  1041.1648  "?"                miss
    752  1039.4512  "what"             miss
    753  1037.6750  " of"              HIT
    754  1036.2614  " them"            HIT
    755  1034.6403  "\n"               HIT
    756  1033.1769  " five"            HIT
    757  1031.7595  " be"              HIT
    758  1030.3218  " had"             HIT
    759  1028.8461  "what"             miss
    760  1027.0758  ","                HIT
    761  1025.4067  " five"            HIT
    762  1023.9945  " And"             miss
    763  1022.5038  " these"           HIT
